"uniqueID","docDate","caseName","Appeal_Dockets","Full_Cite","PrecedentialStatus","enBanc","url","DispGeneral","Orig_Trib_Dockets"
14982,"2013-04-09","GLENN CONNERY v. LAURENCE BOUCHER [RULE 36 JUDGMENT]","2012-01612","501 F. App'x 979","Nonprecedential","No","","Affirmed",""
14986,"2013-04-10","IN RE: KARL URQUHART [RULE 36 JUDGMENT]","2012-01691","501 F. App'x 979","Nonprecedential","No","","Affirmed",""
14996,"2013-06-06","IN RE: GERALD BENSON [RULE 36 JUDGMENT]","2012-01663;2012-01664","516 F. App'x 923","Nonprecedential","No","","Affirmed",""
14997,"2013-06-07","IN RE: ROBERT YEAGER [OPINION]","2012-01667","527 F. App'x 859","Nonprecedential","No","","Affirmed",""
14998,"2013-06-13","INRE: FRANK TOPPO [RULE 36 JUDGMENT]","2013-01077","515 F. App'x 885","Nonprecedential","No","","Affirmed",""
15001,"2013-06-18","INRE: SRI INTERNATIONAL [RULE 36 JUDGMENT]","2012-01456","515 F. App'x 891","Nonprecedential","No","","Affirmed",""
15008,"2013-07-22","INRE: LG DISPLAY CO., LTD. [RULE 36 JUDGMENT]","2013-01055","521 F. App'x 931","Nonprecedential","No","","Affirmed",""
15013,"2013-08-12","PANDUIT CORP. v. REA [RULE 36 JUDGMENT]","2012-01437;2012-01438","528 F. App'x 992","Nonprecedential","No","","Affirmed",""
15015,"2013-08-12","PANDUIT CORP. v. ADC TELECOMMUNICATIONS, INC. [RULE 36 JUDGMENT]","2012-01435;2012-01436","528 F. App'x 992","Nonprecedential","No","","Affirmed",""
15016,"2013-08-13","INRE: BEKA SOLOMON [RULE 36 JUDGMENT]","2012-01689","528 F. App'x 994","Nonprecedential","No","","Affirmed",""
15017,"2013-08-13","INRE: EDWARD RAPP [RULE 36 JUDGMENT]","2013-01111","528 F. App'x 995","Nonprecedential","No","","Affirmed",""
15020,"2013-09-16","LAUBE v. REA [RULE 36 JUDGMENT]","2013-01048","530 F. App'x 961","Nonprecedential","No","","Affirmed",""
15021,"2013-09-16","INRE: MOTOROLA MOBILITY LLC [RULE 36 JUDGMENT] CORRECTED 9/16, 12:30PM","2013-01133","530 F. App'x 964","Nonprecedential","No","","Affirmed",""
15027,"2013-10-10","IN RE: PRICEPLAY, INC. [RULE 36 JUDGMENT]","2013-01102","534 F. App'x 980","Nonprecedential","No","","Affirmed",""
15029,"2013-10-15","INRE: GORDON [RULE 36 JUDGMENT]","2013-01094;2013-01096","534 F. App'x 991","Nonprecedential","No","","Affirmed",""
15030,"2013-10-15","THOMAS v. PIPPIN [RULE 36 JUDGMENT]","2013-01142;2013-01143;2013-01144","534 F. App'x 992","Nonprecedential","No","","Affirmed",""
15031,"2013-10-15","INRE: TILLMAN [RULE 36 JUDGMENT]","2013-01232","534 F. App'x 992","Nonprecedential","No","","Affirmed",""
15032,"2013-10-16","FINN v. REA [RULE 36 JUDGMENT]","2012-01635","534 F. App'x 999","Nonprecedential","No","","Affirmed",""
15034,"2013-10-22","GARRIDO v. HOLT [OPINION]","2013-01194","547 F. App'x 974","Nonprecedential","No","","Affirmed",""
15039,"2013-11-07","INRE: RONALD A. KATZ TECHNOLOGY [RULE 36 JUDGMENT]","2013-01139","540 F. App'x 995","Nonprecedential","No","","Affirmed",""
15040,"2013-11-07","INRE: RONALD A. KATZ TECHNOLOGY [RULE 36 JUDGMENT]","2013-01138","540 F. App'x 995","Nonprecedential","No","","Affirmed",""
15041,"2013-11-07","INRE: RONALD A. KATZ TECHNOLOGY [RULE 36 JUDGMENT]","2013-01137","540 F. App'x 996","Nonprecedential","No","","Affirmed",""
15043,"2013-11-12","IN RE: MOTOROLA MOBILITY LLC [OPINION]","2013-01222","545 F. App'x 983","Nonprecedential","No","","Affirmed",""
15045,"2013-11-22","INRE: EATON [OPINION]","2013-01104","545 F. App'x 994","Nonprecedential","No","","Reversed",""
15048,"2013-12-06","INRE: SUK KAN OH [RULE 36 JUDGMENT]","2013-01321","546 F. App'x 962","Nonprecedential","No","","Affirmed",""
15049,"2013-12-11","INRE: WEINSTEIN [RULE 36 JUDGMENT]","2013-01196","547 F. App'x 992","Nonprecedential","No","","Affirmed",""
15054,"2014-01-09","INRE: AFFINITY LABS OF TEXAS [RULE 36 JUDGMENT]","2013-01393","550 F. App'x 884","Nonprecedential","No","","Affirmed",""
15055,"2014-01-13","INRE: ENHANCED SECURITY RESEARCH LLC [OPINION]","2013-01114","739 F.3d 1347","Precedential","No","","Affirmed",""
15056,"2014-01-13","INRE: GIANNELLI [OPINION]","2013-01167","739 F.3d 1375","Precedential","No","","Reversed",""
15058,"2014-01-27","INRE: CHAGANTI [OPINION]","2013-01372","554 F. App'x 917","Nonprecedential","No","","Affirmed",""
15063,"2014-02-07","INRE: MUNZ [RULE 36 JUDGMENT]","2013-01421","552 F. App'x 989","Nonprecedential","No","","Affirmed",""
15065,"2014-02-10","INRE: VISTAPRINT TECHNOLOGIES LTD. [RULE 36 JUDGMENT]","2013-01261;2013-01550","553 F. App'x 1004","Nonprecedential","No","","Affirmed",""
15066,"2014-02-10","TEMPO LIGHTING, INC. v. TIVOLI, LLC [OPINION]","2013-01140","742 F.3d 973","Precedential","No","","Affirmed-in-part",""
15067,"2014-02-11","INRE: JAMES COX [RULE 36 JUDGMENT]","2013-01483","556 F. App'x 957","Nonprecedential","No","","Affirmed",""
15070,"2014-02-21","CISCO SYSTEMS, INC. v. LEE [OPINION]","2012-01513;2012-01514;2012-01297","557 F. App'x 963","Nonprecedential","No","","Affirmed-in-part",""
15071,"2014-02-25","IN RE: HOFFMANN [OPINION]","2013-01657","558 F. App'x 985","Nonprecedential","No","","Affirmed",""
15074,"2014-03-13","INRE: RUDY [RULE 36 JUDGMENT]","2013-01673","558 F. App'x 1011","Nonprecedential","No","","Affirmed",""
15075,"2014-03-18","IN RE: BERGER [RULE 36 JUDGMENT]","2013-01473","558 F. App'x 1028","Nonprecedential","No","","Affirmed",""
15089,"2014-04-17","PANDUIT CORPORATION v. ADC TELECOMMUNICATIONS, INC. [RULE 36 JUDGMENT]","2013-01442","562 F. App'x 972","Nonprecedential","No","","Affirmed",""
15090,"2014-04-17","PANDUIT CORPORATION v. ADC TELECOMMUNICATIONS, INC. [RULE 36 JUDGMENT]","2013-01501;2013-01502","562 F. App'x 973","Nonprecedential","No","","Affirmed",""
15091,"2014-04-21","INRE: MURKOWSKI [RULE 36 JUDGMENT]","2013-01436","562 F. App'x 975","Nonprecedential","No","","Affirmed",""
15092,"2014-04-21","INRE: AOKI [RULE 36 JUDGMENT]","2013-01538","562 F. App'x 976","Nonprecedential","No","","Affirmed",""
15093,"2014-04-23","K-SWISS INC. v. GLIDE'N LOCK GMBH [OPINION]","2013-01316;2013-01317","567 F. App'x 906","Nonprecedential","No","","Affirmed-in-part",""
15094,"2014-04-23","IN RE: WALLEN [OPINION]","2013-01622","565 F. App'x 867","Nonprecedential","No","","Affirmed-in-part",""
15099,"2014-04-24","VAILLANCOURT v. BECTON DICKINSON & COMPANY [OPINION]","2013-01408","749 F.3d 1368","Precedential","No","","Dismissed",""
15106,"2014-05-06","INRE: PACKARD [OPINION]","2013-01204","751 F.3d 1307","Precedential","No","","Affirmed",""
15107,"2014-05-08","IN RE: ROSLIN INSTITUTE (EDINBURGH) [OPINION]","2013-01407","750 F.3d 1333","Precedential","No","","Affirmed",""
15108,"2014-05-08","SCHWINDT v. MILLER [RULE 36 JUDGMENT]","2013-01563","565 F. App'x 884","Nonprecedential","No","","Affirmed",""
15109,"2014-05-12","TECHNOLOGIES HOLDINGS CORP. v. ABATEMENT TECHNOLOGIES, INC. [RULE 36 JUDGMENT]","2013-01661","565 F. App'x 897","Nonprecedential","No","","Affirmed",""
15112,"2014-05-14","CROSS ATLANTIC CAPITAL PARTNER v. FACEBOOK, INC. [RULE 36 JUDGMENT]","2013-01596","556 F. App'x 963","Nonprecedential","No","","Affirmed",""
15116,"2014-05-16","INRE: BELLANDI [RULE 36 JUDGMENT]","2013-01638","560 F. App'x 996","Nonprecedential","No","","Affirmed",""
15117,"2014-05-19","TOBINICK v. OLMARKER [OPINION]","2013-01499","753 F.3d 1220","Precedential","No","","Reversed",""
15124,"2014-06-04","IN RE: RAMBUS, INC. [OPINION]","2013-01192","753 F.3d 1253","Precedential","No","","Reversed",""
15125,"2014-06-04","CONSUMER WATCHDOG v. WISCONSIN ALUMNI RESEARCH [OPINION]","2013-01377","753 F.3d 1258","Precedential","No","","Dismissed",""
15130,"2014-06-06","INRE: BENTWICH [OPINION]","2013-01460","566 F. App'x 941","Nonprecedential","No","","Affirmed",""
15132,"2014-06-10","INRE: DINSMORE [OPINION]","2013-01637","757 F.3d 1343","Precedential","No","","Affirmed",""
15133,"2014-06-10","INRE: MORRISON [RULE 36 JUDGMENT]","2014-01050","563 F. App'x 775","Nonprecedential","No","","Affirmed",""
15134,"2014-06-11","IN RE: KALKANOGLU [RULE 36 JUDGMENT]","2014-01045","563 F. App'x 776","Nonprecedential","No","","Affirmed",""
15135,"2014-06-12","IN RE: WIRTH [OPINION]","2014-01075","563 F. App'x 777","Nonprecedential","No","","Affirmed",""
15137,"2014-07-15","INRE: ADAMS [RULE 36 JUDGMENT]","2014-01160","570 F. App'x 937","Nonprecedential","No","","Affirmed",""
15140,"2014-07-16","IN RE: RAJEN PATEL [OPINION]","2013-01301","566 F. App'x 1005","Nonprecedential","No","","Affirmed-in-part",""
15141,"2014-07-17","GANDHI v. BANDL-KONRAD [RULE 36 JUDGMENT]","2014-01087","571 F. App'x 956","Nonprecedential","No","","Affirmed",""
15142,"2014-07-25","IN RE: KARPF [OPINION]","2014-01035","576 F. App'x 968","Nonprecedential","No","","Vacated",""
15144,"2014-08-11","INRE: INDEX SYSTEMS, INC. [OPINION]","2014-01084","576 F. App'x 976","Nonprecedential","No","","Affirmed",""
15145,"2014-08-13","IN RE: LANG [RULE 36 JUDGMENT]","2013-01639","576 F. App'x 981","Nonprecedential","No","","Affirmed",""
15149,"2014-08-29","ARLINGTON INDUSTRIES, INC. v. BRIDGEPORT FITTINGS, INC. [OPINION]","2013-01400;2013-01401","581 F. App'x 859","Nonprecedential","No","","Affirmed-in-part",""
15153,"2014-09-10","SCIENTIFIC PLASTIC PRODUCTS v. BIOTAGE AB [OPINION]","2013-01219;2013-01220;2013-01221","766 F.3d 1355","Precedential","No","","Affirmed",""
15154,"2014-09-11","FACEBOOK, INC. v. PRAGMATUS AV, LLC [OPINION]","2013-01350;2013-01351","582 F. App'x 864","Nonprecedential","No","","Vacated",""
15156,"2014-09-15","IN RE: PACTIV LLC [RULE 36 JUDGMENT]","2014-01066;2014-01067;2014-01068;2014-01069;2014-01070","577 F. App'x 999","Nonprecedential","No","","Affirmed",""
15157,"2014-09-15","IN RE: ROSS [RULE 36 JUDGMENT]","2013-01660"," 577 F. App'x 998","Nonprecedential","No","","Affirmed",""
15159,"2014-09-16","IN RE: TARGET TRAINING INTERNATIONAL [RULE 36 JUDGMENT]","2014-01201","577 F. App'x 1005","Nonprecedential","No","","Affirmed",""
15160,"2014-09-17","IN RE: TECHSHELL, INC. [RULE 36 JUDGMENT]","2014-01179","578 F. App'x 988","Nonprecedential","No","","Affirmed",""
15163,"2014-09-25","IN RE: ONTJES [OPINION]","2014-01157","587 F. App'x 641","Nonprecedential","No","","Affirmed",""
15164,"2014-09-30","IN RE: TAYLOR MADE GOLF CO. [OPINION]","2013-01552","589 F. App'x 967","Nonprecedential","No","","Vacated",""
15165,"2014-10-14","IN RE: TAY [OPINION]","2014-01415","579 F. App'x 999","Nonprecedential","No","","Affirmed",""
15166,"2014-10-16","CITRIX SYSTEMS, INC. v. 01 COMMUNIQUE LABORATORY, INC. [RULE 36 JUDGMENT]","2014-01240","581 F. App'x 900","Nonprecedential","No","","Affirmed",""
15171,"2014-11-05","IN RE: ORINDA INTELLECTUAL PROPERTIES [RULE 36 JUDGMENT]","2014-01310","581 F. App'x 906","Nonprecedential","No","","Affirmed",""
15173,"2014-11-07","IN RE: ROTH [RULE 36 JUDGMENT]","2014-01162","582 F. App'x 879","Nonprecedential","No","","Affirmed",""
15174,"2014-11-10","FORHEALTH TECHNOLOGIES, INC. v. INTELLIGENT HOSPITAL SYSTEMS [RULE 36 JUDGMENT]","2014-01348","582 F. App'x 887","Nonprecedential","No","","Affirmed",""
15175,"2014-11-10","UNIVERSITY OF SOUTHERN CALIF v. DEPUY SYNTHES [RULE 36 JUDGMENT]","2013-01675","591 F. App'x 937","Nonprecedential","No","","Affirmed",""
15177,"2014-11-10","WEYER v. FACEBOOK, INC. [RULE 36 JUDGMENT]","2014-01378","582 F. App'x 893","Nonprecedential","No","","Affirmed",""
15178,"2014-11-13","IN RE: HOWARD [RULE 36 JUDGMENT]","2014-01137","583 F. App'x 914","Nonprecedential","No","","Affirmed",""
15179,"2014-11-14","ROZBICKI v. CHIANG [OPINION]","2014-01041","590 F. App'x 990","Nonprecedential","No","","Affirmed-in-part",""
15182,"2014-12-04","IN RE: INVENTOR HOLDINGS, LLC [RULE 36 JUDGMENT]","2014-01363","585 F. App'x 1007","Nonprecedential","No","","Affirmed",""
15183,"2014-12-04","IN RE: ENGLEMAN [RULE 36 JUDGMENT]","2014-01230","585 F. App'x 1007","Nonprecedential","No","","Affirmed",""
15184,"2014-12-08","IN RE: GRAFF [RULE 36 JUDGMENT]","2014-01288","585 F. App'x 1012","Nonprecedential","No","","Affirmed",""
15185,"2014-12-09","IN RE: KHAYRALLAH [OPINION]","2014-01382","594 F. App'x 666","Nonprecedential","No","","Affirmed",""
15188,"2014-12-16","CSR, PLC v. SKULLCANDY, INC. [OPINION]","2014-01108;2014-01109;2014-01138","594 F. App'x 672","Nonprecedential","No","","Affirmed-in-part",""
15189,"2015-01-08","GAMECASTER, INC. v. DREAMWORKS ANIMATION SKG, INC. [RULE 36 JUDGMENT]","2014-01380","588 F. App'x 1001","Nonprecedential","No","","Affirmed",""
15190,"2015-01-08","IN RE: SHANEOUR [OPINION]","2014-01518","600 F. App'x 734","Nonprecedential","No","","Affirmed",""
15191,"2015-01-08","HEAR-WEAR TECHNOLOGIES, LLC v. K/S HIMPP [RULE 36 JUDGMENT]","2014-01357","588 F. App'x 1000","Nonprecedential","No","","Affirmed",""
15192,"2015-01-09","HEAR-WEAR TECHNOLOGIES, LLC v. K/S HIMPP [RULE 36 JUDGMENT]","2014-01369","589 F. App'x 536","Nonprecedential","No","","Affirmed",""
15193,"2015-01-12","IN RE: PROKOP [RULE 36 JUDGMENT]","2014-01423","589 F. App'x 987","Nonprecedential","No","","Affirmed",""
15194,"2015-01-14","DEPUY SYNTHES PRODUCTS, LLC v. SMITH & NEPHEW, INC. [RULE 36 JUDGMENT]","2014-01136","589 F. App'x 1001","Nonprecedential","No","","Affirmed",""
15196,"2015-01-15","IN RE: STOLLER [OPINION]","2014-01271","598 F. App'x 772","Nonprecedential","No","","Affirmed-in-part",""
15197,"2015-01-20","IN RE: ORBITAL TECHNOLOGIES CORP. [OPINION]","2014-01298;2014-01299","603 F. App'x 924","Nonprecedential","No","","Affirmed",""
15198,"2015-01-20","IN RE: TRAFFIC INFORMATION, LLC [RULE 36 JUDGMENT]","2014-01427","589 F. App'x 538","Nonprecedential","No","","Affirmed",""
15199,"2015-01-27","PLAS-PAK INDUSTRIES v. SULZER MIXPAC AG [OPINION]","2014-01447","600 F. App'x 755","Nonprecedential","No","","Affirmed",""
15200,"2015-01-27","PLAS-PAK INDUSTRIES, INC. v. RICHARD PARKS CORROSION TECH. [RULE 36 JUDGMENT]","2014-01451","590 F. App'x 1000","Nonprecedential","No","","Affirmed",""
15201,"2015-01-29","IN RE: IMES [OPINION]","2014-01206","778 F.3d 1250","Precedential","No","","Reversed",""
15202,"2015-02-03","IN RE NAS NALLE AUTOMATION SYSTEMS [RULE 36 JUDGMENT]","2014-01487","592 F. App'x 944","Nonprecedential","No","","Affirmed",""
15203,"2015-02-04","IN RE CUOZZO SPEED TECHNOLOGIES, LLC [OPINION]","2014-01301","778 F.3d 1271","Precedential","No","","Affirmed",""
15204,"2015-02-05","IN RE PEACH STATE LABS, INC. [RULE 36 JUDGMENT]","2014-01325","592 F. App'x 945","Nonprecedential","No","","Affirmed",""
15205,"2015-02-06","IN RE RODRIGUEZ-LAFRASSE [RULE 36 JUDGMENT]","2014-01545","592 F. App'x 946","Nonprecedential","No","","Affirmed",""
15206,"2015-02-09","SOFTVIEW LLC v. KYOCERA CORPORATION [RULE 36 JUDGMENT]","2014-01599","592 F. App'x 949","Nonprecedential","No","","Affirmed",""
15207,"2015-02-09","SOFTVIEW LLC v. KYOCERA CORPORATION [RULE 36 JUDGMENT]","2014-01600","592 F. App'x 947","Nonprecedential","No","","Affirmed",""
15208,"2015-02-09","IN RE DOUGLASS [RULE 36 JUDGMENT]","2014-01207","592 F. App'x 948","Nonprecedential","No","","Affirmed",""
15209,"2015-02-10","IN RE CHUANG [OPINION]","2014-01257","603 F. App'x 941","Nonprecedential","No","","Affirmed",""
15211,"2015-02-18","CLEARLAMP, LLC v. LKQ CORPORATION [RULE 36 JUDGMENT]","2014-01627","594 F. App'x 687","Nonprecedential","No","","Affirmed",""
15214,"2015-03-06","INRE: BIG BABOON, INC. [RULE 36 JUDGMENT]","2014-01601","595 F. App'x 988","Nonprecedential","No","","Affirmed",""
15215,"2015-03-06","INRE: DOWNHOLE PRODUCTS, LTD. [RULE 36 JUDGMENT]","2014-01512","595 F. App'x 993","Nonprecedential","No","","Affirmed",""
15216,"2015-03-10","INRE: SINGHAL [OPINION]","2014-01704","602 F. App'x 826","Nonprecedential","No","","Affirmed",""
15217,"2015-03-11","INRE: WILLIAMS [RULE 36 JUDGMENT]","2014-01486","596 F. App'x 919","Nonprecedential","No","","Affirmed",""
15218,"2015-03-12","BOARD OF TRUSTEES v. MICRON TECHNOLOGY, INC. [RULE 36 JUDGMENT]","2014-01510","596 F. App'x 921","Nonprecedential","No","","Affirmed",""
15219,"2015-03-12","IN RE: ZILLOW, INC. [RULE 36 JUDGMENT]","2014-01546","596 F. App'x 921","Nonprecedential","No","","Affirmed",""
15220,"2015-03-12","BOARD OF TRUSTEES v. MICRON TECHNOLOGY, INC. [RULE 36 JUDGMENT]","2014-01511","597 F. App'x 1082","Nonprecedential","No","","Affirmed",""
15221,"2015-03-12","BOARD OF TRUSTEES v. MICRON TECHNOLOGY, INC. [RULE 36 JUDGMENT]","2014-01509","596 F. App'x 923","Nonprecedential","No","","Affirmed",""
15222,"2015-03-13","VICOR CORPORATION v. SYNQOR, INC. [OPINION]","2014-01578","603 F. App'x 969","Nonprecedential","No","","Reversed",""
